                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.61779,                 1.3223,                0.65438,                0.98146,                0.62882,                0.54921,                0.61502,                0.33878,                0.92188,                0.36065,                0.49259,                0.27517,                 1.8328,                 2.9466,                 1.8764,                 1.5146,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.48586,                 1.0759,                0.45033,                0.90534,                0.62882,                0.54921,                0.61502,                0.33878,                0.92188,                0.36065,                0.49259,                0.27517,                 1.8328,                 2.9466,                 1.8764,                 1.5146,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.50642,                   1.24,                0.55151,                0.94124,                0.62882,                0.54921,                0.61502,                0.33878,                0.92188,                0.36065,                0.49259,                0.27517,                 1.8328,                 2.9466,                 1.8764,                 1.5146,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.59599,                 1.8737,                 1.0561,                 1.0571,                0.63676,                0.69398,                 0.6624,                0.34996,                0.55967,                0.59699,                0.54548,                 0.2944,                 1.8276,                 2.9778,                 1.8602,                 1.5099,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.43539,                 1.2279,                0.55295,                0.95198,                0.63676,                0.69398,                 0.6624,                0.34996,                0.55967,                0.59699,                0.54548,                 0.2944,                 1.8276,                 2.9778,                 1.8602,                 1.5099,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.52374,                 1.1858,                0.85371,                 0.9693,                0.63676,                0.69398,                 0.6624,                0.34996,                0.55967,                0.59699,                0.54548,                 0.2944,                 1.8276,                 2.9778,                 1.8602,                 1.5099,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.44501,                 1.1991,                0.52082,                0.90934,                0.63676,                0.69398,                 0.6624,                0.34996,                0.55967,                0.59699,                0.54548,                 0.2944,                 1.8276,                 2.9778,                 1.8602,                 1.5099,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.61476,                 1.4405,                 1.0663,                 1.0104,                0.86791,                 0.4807,                0.60797,                0.36023,                0.53246,                0.54944,                0.54128,                 0.2936,                 1.8034,                  2.886,                 1.8483,                 1.4863,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.62543,                  1.486,                0.64097,                 1.0263,                0.86791,                 0.4807,                0.60797,                0.36023,                0.53246,                0.54944,                0.54128,                 0.2936,                 1.8034,                  2.886,                 1.8483,                 1.4863,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.68717,                 1.7778,                0.76158,                 1.0208,                0.86791,                 0.4807,                0.60797,                0.36023,                0.53246,                0.54944,                0.54128,                 0.2936,                 1.8034,                  2.886,                 1.8483,                 1.4863,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.56757,                 1.2316,                0.52389,                0.99496,                0.86791,                 0.4807,                0.60797,                0.36023,                0.53246,                0.54944,                0.54128,                 0.2936,                 1.8034,                  2.886,                 1.8483,                 1.4863,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.47074,                 1.0214,                0.54991,                0.85302,                 0.6014,                0.60419,                0.61067,                0.35334,                0.55858,                0.58086,                0.53863,                0.29296,                 1.8026,                 2.8983,                 1.8584,                  1.477,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.44558,                 1.0687,                0.54859,                0.89915,                 0.6014,                0.60419,                0.61067,                0.35334,                0.55858,                0.58086,                0.53863,                0.29296,                 1.8026,                 2.8983,                 1.8584,                  1.477,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.52908,                 1.1834,                0.60885,                0.96619,                 0.6014,                0.60419,                0.61067,                0.35334,                0.55858,                0.58086,                0.53863,                0.29296,                 1.8026,                 2.8983,                 1.8584,                  1.477,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.70016,                 1.2727,                0.71453,                 1.1438,                 0.6014,                0.60419,                0.61067,                0.35334,                0.55858,                0.58086,                0.53863,                0.29296,                 1.8026,                 2.8983,                 1.8584,                  1.477,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.64281,                 1.3339,                0.72661,                 1.0905,                0.61762,                 0.5504,                 0.6157,                0.35942,                0.59084,                0.45042,                0.49156,                0.29208,                 1.8216,                 2.9699,                 1.8272,                 1.5068,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.45072,                 1.0512,                 0.5506,                  0.858,                0.61762,                 0.5504,                 0.6157,                0.35942,                0.59084,                0.45042,                0.49156,                0.29208,                 1.8216,                 2.9699,                 1.8272,                 1.5068,             5.6663e-06,             5.6663e-06,             5.6663e-06
